id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2,qtd_boletos,valor_total,valor_recebido,atraso_medio,taxa_atraso,taxa_inadimplencia,perda_total,prazo_medio_pagamento,score_risco,classificacao_risco
4d1e0e6bed46a63ac17c97ef153512dddf1b601475604524eab9a2cc5b581a91,1095300.0,RJ,0.9357594434160064,0.8690092480372663,857.0,177.57142857142858,0.91,0.07693,964.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
7c490978d75d9f3cd1ef4c3837d918a2e6d08d831feefa5a5d06748c735f4e8d,4713002.0,Sem Info,0.9380040597248912,0.8530041727895563,843.0,48.0,0.93,0.0,844.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
63e670ef5ec4071adcd6df2979de0214e12f2fcb6f085977f682918ace704f39,1313800.0,PR,0.785093166180128,0.6591664929008307,770.0,169.3272727272727,0.88,0.01536,948.0,982.0,2.0,6543.48,4808.88,13.0,1.0,0.0,1734.6,45.5,1.0,Baixo Risco
e3c8b56d8a83a41614fcd8b653051b4af28ad27b21fc626ff228c99815d94e72,4930202.0,RJ,0.5503332343358835,0.2650900952960722,169.0,88.60629921259843,0.59,0.2138,51.0,913.0,1.0,78000.0,78000.0,0.0,0.0,0.0,0.0,17.0,1.0,Baixo Risco
c479853786b1c4a3324d1a682b7311662c4e0a7e55886bf662ca1fcdeb574614,2610800.0,SP,0.8930731240515386,0.7751469172449356,788.0,180.06666666666666,0.72,0.0,973.0,989.0,1.0,1149.68,1149.68,0.0,0.0,0.0,0.0,98.0,1.0,Baixo Risco
333801b4183b8a249cf62ff3d8d2d6ff159c0f97151cb4df0b538930355cfc4f,4771701.0,PR,0.9608815099081928,0.8530041727895563,929.0,197.8421052631579,0.97,0.10038,979.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
b64a76c903c4669411ba7fc2e66a29f47b76cb0741254d070e82448664c3e848,2222600.0,SC,0.4890797115466307,0.9781942683255724,787.0,193.33333333333331,0.91,0.68132,957.0,945.0,1.0,8404.98,8404.98,2.0,1.0,0.0,0.0,62.0,1.0,Baixo Risco
10c1e2787c1bbaa72cc3e778911fd42074c679a1cd846fa98295816747309362,4744099.0,MT,0.7412722535355576,0.8530041727895563,952.0,228.08333333333331,0.97,0.55231,982.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
addbd3486c121294553296d0842316df9b35d8376083badd33e13c9bcdc4ab16,4632001.0,SP,0.2227570367834873,0.7638487299458712,728.0,74.775,0.9,0.2623,230.0,930.0,1.0,621.0,621.0,0.0,0.0,0.0,0.0,7.0,1.0,Baixo Risco
2bd209b581c1c82f456ea10d292dac692edad2e6d632b643191c310d38ed09c1,2949299.0,SC,0.7399036707176011,0.9515152109947314,353.0,179.18960244648318,0.75,0.04838,925.0,988.0,1.0,1346.1,1346.1,0.0,0.0,0.0,0.0,37.0,1.0,Baixo Risco
486fde6fa2d6f06d016daeff89e2f22dc2bfd5aa889c536a334cf0fb4fc02b33,2342701.0,SP,0.9940814247356136,0.9417591785298144,952.0,221.7,0.97,0.05924,980.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
e9ef22a806d9f413a6079220141770df48ab95686eff358e3536a97cdfddccaf,4771701.0,PR,0.9812097732190816,0.8530041727895563,953.0,271.84615384615387,0.99,0.0,984.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
557f79c72b683776da4fc0e89237287df0cc680d92fb63cb717265a9c749a62d,4771701.0,PR,0.6545833085362318,0.8530041727895563,517.0,94.96,0.9,0.10514,217.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
8e012ecaf6af63693df0f5ec577307b0b7925f7d5f0f151da3fcb9ee8edef915,4644301.0,BA,0.7961311264514805,0.8530041727895563,847.0,136.7156862745098,0.96,0.16094,983.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
29717095c354fdcdf4a0ad1df8cc7bc37085904fa1660f1ea94eef775d75861e,1412603.0,SP,0.8697007880376022,0.8530041727895563,881.0,192.19230769230768,0.93,0.16507,971.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
e75b3585eacfbf6bb7b42504a6e91a875c2f7eec1a1ba35a7778167e738670c7,4781400.0,BA,0.939367447122053,0.8530041727895563,931.0,287.0,0.97,0.0,973.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
4f9570c991d16d0fe0dceab00ec86008f0d096249ef0790658464c0e69bc4931,4781400.0,SP,0.9841293439083793,0.8530041727895563,963.0,264.77777777777777,0.96,0.0,984.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
